year,name,country,time,date,discipline,gender
2013,Meseret DEFAR,ETH,30:08.06,27 JUN 2013,10000-metres,women
2013,Mohammed AMAN,ETH,1:42.37,06 SEP 2013,800-metres,men
2013,Asbel KIPROP,KEN,3:27.72,19 JUL 2013,1500-metres,men
2013,Edwin Cheruiyot SOI,KEN,12:51.34,19 JUL 2013,5000-metres,men
2013,Dejen GEBREMESKEL,ETH,26:51.02,27 JUN 2013,10000-metres,men
2014,Ajee' WILSON,USA,1:57.67,18 JUL 2014,800-metres,women
2014,Genzebe DIBABA,ETH,3:55.17,01 FEB 2014,1500-metres,women
2014,Genzebe DIBABA,ETH,14:28.88,18 JUL 2014,5000-metres,women
2014,Sally KIPYEGO,KEN,30:42.26,04 MAY 2014,10000-metres,women
2014,Nijel AMOS,BOT,1:42.45,18 JUL 2014,800-metres,men
2014,Silas KIPLAGAT,KEN,3:27.64,18 JUL 2014,1500-metres,men
2014,Muktar EDRIS,ETH,12:54.83,21 AUG 2014,5000-metres,men
2014,Galen RUPP,USA,26:44.36,30 MAY 2014,10000-metres,men
2015,Eunice Jepkoech SUM,KEN,1:56.99,04 JUL 2015,800-metres,women
2015,Genzebe DIBABA,ETH,3:50.07,17 JUL 2015,1500-metres,women
2015,Almaz AYANA,ETH,14:14.32,17 MAY 2015,5000-metres,women
2015,Gelete BURKA,ETH,30:49.68,17 JUN 2015,10000-metres,women
2015,Amel TUKA,BIH,1:42.51,17 JUL 2015,800-metres,men
2015,Asbel KIPROP,KEN,3:26.69,17 JUL 2015,1500-metres,men
2015,Yomif KEJELCHA,ETH,12:53.98,11 SEP 2015,5000-metres,men
2015,Mo FARAH,GBR,26:50.97,29 MAY 2015,10000-metres,men
2016,Caster SEMENYA,RSA,1:55.28,20 AUG 2016,800-metres,women
2016,Laura MUIR,GBR,3:55.22,27 AUG 2016,1500-metres,women
2016,Almaz AYANA,ETH,14:12.59,02 JUN 2016,5000-metres,women
2016,Almaz AYANA,ETH,29:17.45,12 AUG 2016,10000-metres,women
2016,David RUDISHA,KEN,1:42.15,15 AUG 2016,800-metres,men
2016,Asbel KIPROP,KEN,3:29.33,05 JUN 2016,1500-metres,men
2016,Mo FARAH,GBR,12:59.29,23 JUL 2016,5000-metres,men
2016,Yigrem DEMELASH,ETH,26:51.11,29 JUN 2016,10000-metres,men
2017,Caster SEMENYA,RSA,1:55.16,13 AUG 2017,800-metres,women
2017,Sifan HASSAN,NED,3:56.14,11 JUN 2017,1500-metres,women
2017,Hellen OBIRI,KEN,14:18.37,08 JUN 2017,5000-metres,women
2017,Almaz AYANA,ETH,30:16.32,05 AUG 2017,10000-metres,women
2017,Emmanuel Kipkurui KORIR,KEN,1:43.10,21 JUL 2017,800-metres,men
2017,Elijah Motonei MANANGOI,KEN,3:28.80,21 JUL 2017,1500-metres,men
2017,Muktar EDRIS,ETH,12:55.23,06 JUL 2017,5000-metres,men
2017,Mo FARAH,GBR,26:49.51,04 AUG 2017,10000-metres,men
2018,Caster SEMENYA,RSA,1:54.25,30 JUN 2018,800-metres,women
2018,Genzebe DIBABA,ETH,3:56.68,08 JUN 2018,1500-metres,women
2018,Hellen OBIRI,KEN,14:21.75,13 JUL 2018,5000-metres,women
2018,Pauline KAMULU,KEN,30:41.85,11 JUL 2018,10000-metres,women
2018,Emmanuel Kipkurui KORIR,KEN,1:42.05,22 JUL 2018,800-metres,men
2018,Timothy CHERUIYOT,KEN,3:28.41,20 JUL 2018,1500-metres,men
2018,Selemon BAREGA,ETH,12:43.02,31 AUG 2018,5000-metres,men
2018,Stanley Waithaka MBURU,KEN,27:13.01,10 NOV 2018,10000-metres,men
2019,Caster SEMENYA,RSA,1:54.98,03 MAY 2019,800-metres,women
2019,Sifan HASSAN,NED,3:51.95,05 OCT 2019,1500-metres,women
2019,Hellen OBIRI,KEN,14:20.36,21 JUL 2019,5000-metres,women
2019,Sifan HASSAN,NED,30:17.62,28 SEP 2019,10000-metres,women
2019,Nijel AMOS,BOT,1:41.89,12 JUL 2019,800-metres,men
2019,Timothy CHERUIYOT,KEN,3:28.77,05 JUL 2019,1500-metres,men
2019,Telahun Haile BEKELE,ETH,12:52.98,06 JUN 2019,5000-metres,men
2019,Joshua CHEPTEGEI,UGA,26:48.36,06 OCT 2019,10000-metres,men
2020,Faith KIPYEGON,KEN,1:57.68,25 SEP 2020,800-metres,women
2020,Laura MUIR,GBR,3:57.40,13 SEP 2020,1500-metres,women
2020,Letesenbet GIDEY,ETH,14:06.62,07 OCT 2020,5000-metres,women
2020,Sifan HASSAN,NED,29:36.67,10 OCT 2020,10000-metres,women
2020,Donavan BRAZIER,USA,1:43.15,14 AUG 2020,800-metres,men
2020,Timothy CHERUIYOT,KEN,3:28.45,14 AUG 2020,1500-metres,men
2020,Joshua CHEPTEGEI,UGA,12:35.36,14 AUG 2020,5000-metres,men
2020,Joshua CHEPTEGEI,UGA,26:11.00,07 OCT 2020,10000-metres,men
2021,Athing MU,USA,1:55.04,21 AUG 2021,800-metres,women
2021,Faith KIPYEGON,KEN,3:51.07,09 JUL 2021,1500-metres,women
2021,Gudaf TSEGAY,ETH,14:13.32,08 JUN 2021,5000-metres,women
2021,Letesenbet GIDEY,ETH,29:01.03,08 JUN 2021,10000-metres,women
2021,Nijel AMOS,BOT,1:42.91,09 JUL 2021,800-metres,men
2021,Timothy CHERUIYOT,KEN,3:28.28,09 JUL 2021,1500-metres,men
2021,Jakob INGEBRIGTSEN,NOR,12:48.45,10 JUN 2021,5000-metres,men
2021,Jacob KIPLIMO,UGA,26:33.93,19 MAY 2021,10000-metres,men
2022,Athing MU,USA,1:56.30,24 JUL 2022,800-metres,women
2022,Faith KIPYEGON,KEN,3:50.37,10 AUG 2022,1500-metres,women
2022,Ejgayehu TAYE,ETH,14:12.98,27 MAY 2022,5000-metres,women
2022,Letesenbet GIDEY,ETH,30:09.94,16 JUL 2022,10000-metres,women
2022,Emmanuel Kipkurui KORIR,KEN,1:43.26,08 SEP 2022,800-metres,men
2022,Jakob INGEBRIGTSEN,NOR,3:29.02,08 SEP 2022,1500-metres,men
2022,Jacob KROP,KEN,12:45.71,02 SEP 2022,5000-metres,men
2022,Grant FISHER,USA,26:33.84,06 MAR 2022,10000-metres,men
2023,Athing MU,USA,1:54.97,17 SEP 2023,800-metres,women
2023,Faith KIPYEGON,KEN,3:49.11,02 JUN 2023,1500-metres,women
2023,Gudaf TSEGAY,ETH,14:00.21,17 SEP 2023,5000-metres,women
2023,Gudaf TSEGAY,ETH,29:29.73,23 JUN 2023,10000-metres,women
2023,Emmanuel WANYONYI,KEN,1:42.80,17 SEP 2023,800-metres,men
2023,Jakob INGEBRIGTSEN,NOR,3:27.14,16 JUL 2023,1500-metres,men
2023,Berihu AREGAWI,ETH,12:40.45,30 JUN 2023,5000-metres,men
2023,Berihu AREGAWI,ETH,26:50.66,23 JUN 2023,10000-metres,men
2024,Keely HODGKINSON,GBR,1:54.61,20 JUL 2024,800-metres,women
2024,Faith KIPYEGON,KEN,3:49.04,07 JUL 2024,1500-metres,women
2024,Beatrice CHEBET,KEN,14:09.52,05 SEP 2024,5000-metres,women
2024,Beatrice CHEBET,KEN,28:54.14,25 MAY 2024,10000-metres,women
2024,Emmanuel WANYONYI,KEN,1:41.11,22 AUG 2024,800-metres,men
2024,Jakob INGEBRIGTSEN,NOR,3:26.73,12 JUL 2024,1500-metres,men
2024,Hagos GEBRHIWET,ETH,12:36.73,30 MAY 2024,5000-metres,men
2024,Yomif KEJELCHA,ETH,26:31.01,14 JUN 2024,10000-metres,men
